API,number,className
setScope(Z)V,1,Lorg/activiti/engine/impl/persistence/entity/ExecutionEntity
setPassword(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/UserEntity
getFullMessageBytes()[B,1,Lorg/activiti/engine/impl/persistence/entity/CommentEntity
setSignalName(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/bpmn/helper/SignalThrowingEventListener
getName()Ljava/lang/String;,1,Lorg/activiti/validation/validator/ValidatorSet
eval(Lorg/activiti/engine/impl/juel/Bindings;Lorg/activiti/engine/impl/javax/el/ELContext;)Ljava/lang/Object;,1,Lorg/activiti/engine/impl/juel/AstBoolean
isInstance(Ljava/lang/Object;)Z,15,Ljava/lang/Class
getBusinessKey()Ljava/lang/String;,4,Lorg/activiti/engine/impl/persistence/entity/ExecutionEntity
activityId(Ljava/lang/String;)Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl;,10,Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl
setGroupId(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/HistoricIdentityLinkEntity
doubleValue()D,5,Ljava/lang/Integer
<clinit>()V,23,Ljava/text/SimpleDateFormat
connectionOpen()V,1,Lorg/bitcoinj/protocols/channels/PaymentChannelServer
getActivityId()Ljava/lang/String;,1,Lorg/activiti/engine/impl/HistoricActivityInstanceQueryImpl
variableName(Ljava/lang/String;)Lorg/activiti/engine/history/HistoricVariableInstanceQuery;,1,Lorg/activiti/engine/impl/HistoricVariableInstanceQueryImpl
isVarArgs()Z,1,Lorg/activiti/engine/impl/juel/AstFunction
setRevision(I)V,1,Lorg/activiti/engine/impl/persistence/entity/IdentityInfoEntity
getNameLike()Ljava/lang/String;,1,Lorg/activiti/engine/impl/ModelQueryImpl
gte([I[I)Z,8,Lcom/linecorp/armeria/internal/shaded/bouncycastle/math/raw/Nat256
<clinit>()V,4,Ljava/util/logging/LogManager$2
getRuntimeService()Lorg/activiti/engine/RuntimeService;,1,Lorg/activiti/engine/test/ActivitiRule
waitBeforeRetry(J)V,5,Lorg/activiti/engine/impl/interceptor/RetryInterceptor
getDiagramResourceName()Ljava/lang/String;,1,Lorg/activiti/engine/impl/pvm/process/ProcessDefinitionImpl
getStructureInstance()Lorg/activiti/engine/impl/bpmn/data/StructureInstance;,2,Lorg/activiti/engine/impl/bpmn/webservice/MessageInstance
hasNext()Z,9,Ljava/util/LinkedList$ListItr
allOf(Ljava/lang/Class;)Ljava/util/EnumSet;,14,Ljava/util/EnumSet
onCoinsReceived(Lorg/bitcoinj/wallet/Wallet;Lorg/bitcoinj/core/Transaction;Lorg/bitcoinj/core/Coin;Lorg/bitcoinj/core/Coin;)V,1,Lorg/bitcoinj/jni/NativeWalletEventListener
saveTask(Lorg/activiti/engine/task/Task;)V,1,Lorg/activiti/engine/impl/TaskServiceImpl
<init>(I)V,263,Ljava/util/ArrayList
getDeploymentId()Ljava/lang/String;,1,Lorg/activiti/engine/impl/persistence/entity/ResourceEntity
isReadOnly(Lorg/activiti/engine/impl/javax/el/ELContext;Ljava/lang/Object;Ljava/lang/Object;)Z,1,Lorg/activiti/engine/impl/el/ReadOnlyMapELResolver
